Country,Christian,Muslim,Unaffiliated,Hindu,Buddhist,Folk,Other,Jewish
Lesotho,0.968,0,0.031,0,0,0.001,0,0
Liberia,0.859,0.12,0.014,0,0,0.005,0.001,0
Libya,0.027,0.966,0.002,0,0.003,0,0,0
Liechtenstein,0.919,0.05,0.029,0,0,0,0,0.001
Lithuania,0.898,0,0.1,0,0,0,0,0
Luxembourg,0.704,0.023,0.268,0,0,0,0.003,0.001
Macau,0.072,0.002,0.154,0,0.173,0.589,0.01,0
Madagascar,0.853,0.03,0.069,0,0,0.045,0,0
Malawi,0.827,0.13,0.025,0,0,0.017,0,0
Mali,0.032,0.924,0.027,0,0,0.016,0,0
Marshall Islands,0.975,0,0.015,0,0,0.003,0.008,0
Mauritania,0.003,0.9999,0.001,0,0,0.005,0,0
Mayotte,0.007,0.986,0.002,0,0,0.005,0,0
Mexico,0.951,0,0.047,0,0,0,0,0
Moldova,0.974,0.006,0.014,0,0,0,0,0.006
Monaco,0.86,0.004,0.117,0,0,0,0.002,0.017
Mongolia,0.023,0.032,0.359,0,0.551,0.035,0,0
Montenegro,0.781,0.187,0.032,0,0,0,0,0
Morocco,0,0.9999,0,0,0,0,0,0
Mozambique,0.567,0.18,0.179,0,0,0.074,0,0
Namibia,0.975,0.003,0.019,0,0,0.002,0,0
Nauru,0.79,0,0.045,0,0.011,0.081,0.074,0
New Caledonia,0.852,0.028,0.104,0,0.006,0.002,0.008,0
Nicaragua,0.858,0,0.125,0,0,0.014,0.001,0
Niger,0.008,0.984,0.007,0,0,0,0,0
Nigeria,0.493,0.488,0.004,0,0,0.014,0,0
Niue,0.964,0,0.033,0,0,0,0.002,0
North Korea,0.02,0,0.713,0,0.015,0.123,0.129,0
Northern Mariana Islands,0.813,0.007,0.01,0,0.106,0.053,0.011,0
Palau,0.867,0,0.012,0,0.008,0.008,0.104,0
Palestinian territories,0.024,0.976,0,0,0,0,0,0
Panama,0.93,0.007,0.048,0,0.002,0.004,0.004,0.004
Papua New Guinea,0.9999,0,0,0,0,0.004,0.002,0
Paraguay,0.969,0,0.011,0,0,0.017,0.002,0
Peru,0.955,0,0.03,0,0.002,0.01,0.003,0
Philippines,0.926,0.055,0.001,0,0,0.015,0.001,0
Poland,0.943,0,0.056,0,0,0,0,0
Puerto Rico,0.967,0,0.019,0,0.003,0.008,0.001,0
Republic of Macedonia,0.593,0.393,0.014,0,0,0,0,0
Republic of the Congo,0.859,0.012,0.09,0,0,0.028,0.011,0
Romania,0.9999,0.003,0.001,0,0,0,0,0
Russia,0.733,0.1,0.162,0,0.001,0.002,0,0.002
Rwanda,0.934,0.018,0.036,0,0,0.01,0.002,0
Samoa,0.968,0,0.025,0,0,0,0.004,0
San Marino,0.916,0,0.072,0,0,0,0.009,0.003
Sao Tome and Principe,0.822,0,0.126,0,0,0.029,0.024,0
Senegal,0.036,0.964,0,0,0,0,0,0
Serbia,0.925,0.042,0.033,0,0,0,0,0
Sierra Leone,0.209,0.78,0.001,0,0,0.008,0,0
Slovakia,0.853,0.002,0.143,0,0,0,0,0
Slovenia,0.784,0.036,0.18,0,0,0,0,0
Solomon Islands,0.974,0,0.002,0,0.003,0.013,0.007,0
Somalia,0,0.9999,0,0,0,0,0,0
South Korea,0.294,0.002,0.464,0,0.229,0.008,0.002,0
South Sudan,0.605,0.062,0.005,0,0,0.329,0,0
Spain,0.786,0.021,0.19,0,0,0,0,0.001
St. Helena,0.965,0,0.033,0,0,0,0.002,0
St. Pierre and Miquelon,0.947,0.002,0.038,0,0,0,0.013,0
Sudan,0.054,0.907,0.01,0,0,0.028,0,0
Syria,0.052,0.928,0.02,0,0,0,0,0
Taiwan,0.055,0,0.127,0,0.213,0.442,0.162,0
Tajikistan,0.016,0.967,0.015,0,0,0,0,0
Timor-Leste,0.9999,0.001,0,0,0,0.001,0,0
Togo,0.437,0.14,0.062,0,0,0.356,0.006,0
Tokelau,0.9999,0,0,0,0,0,0.002,0
Tunisia,0.002,0.9999,0.002,0,0,0,0,0
Turkey,0.004,0.98,0.012,0,0,0,0.002,0
Turkmenistan,0.064,0.93,0.005,0,0,0,0,0
Turks and Caicos Islands,0.921,0,0.046,0,0,0.027,0.006,0
Tuvalu,0.967,0.001,0.013,0,0,0,0.019,0
Ukraine,0.838,0.012,0.147,0,0,0,0,0.001
Uruguay,0.579,0,0.407,0,0,0.008,0.003,0.003
Uzbekistan,0.023,0.967,0.008,0,0,0,0,0
Vanuatu,0.933,0,0.012,0,0,0.041,0.014,0
Vatican City,0.9999,0,0,0,0,0,0,0
Venezuela,0.893,0.003,0.1,0,0,0.002,0,0
Vietnam,0.082,0.002,0.296,0,0.164,0.453,0.004,0
Wallis and Futuna,0.974,0,0.006,0,0,0.012,0.008,0
Western Sahara,0.002,0.9999,0.004,0,0,0,0,0
Zimbabwe,0.87,0.009,0.079,0,0,0.038,0.003,0
